bintang,ulasan,nilai
4,Game sudah bagus dan seru. Tapi masih ada kekurangan. Saat waktu iklan malah gk ada iklannya dan layar menjadi hijam dan biasanya aku nge stuck disitu. Semoga diperbaiki maszeh,POSITIF
5,"Aku berharap grafiknya bisa lebih bagus, didalam busnya bisa kelihatan penumpang penumpangnya gitu dan kalau didalam kota bisa lebih banyak kendaraan khususnya motor, tapi overall udah bagus kok 😎👍",POSITIF
4,"Ini gamenya bagus banyak yang bisa dijelajahi bangunan - bangunan yang nyata serasa mengendarai bus sunguhan.tapi saran dari saya,jika game ini mau maju tolong tambahkan fitur lain seperti tempat rest area, toilet umum,lalu untuk penumpang tambahkan gerakan saat mereka memasukan/mengeluar kan barang dari bagasi bus.trimakasih🙏😁",POSITIF
5,"Om nanti tambahin map sumatera utara(medan), kota lubuk linggau, Bengkulu. Diversi 3.7. Kalau mabar harus ada trafict nya sama ada mode kejar penumpang saat mabar, dan jangan ada lagi bug saat mabar (seperti terkadang gak bisa masuk loading map saat mabar) hilangkan juga iklan saat loading map narik, semoga sukses maleo",POSITIF
4,Aku kasih bintang 4 dulu karena setiap ganti map selalu ada iklan jadi waktu saya terbuang untuk iklan. Tolong update lagi agar saat ganti map tidak ada iklan(iklannya jangan banyak banyak),POSITIF
4,"Min...diupayakan pada mode narik, tdk perlu semua penumpang harus ada di jalan. Gak perlu. Kalo bisa. Ambil penumpang tu di terminal. Biar lebih terasa feel ori disaat main. Boleh ada penumpang di jalanan. Tapi jangan kebanyakan dan jangan pula di setiap jalan itu ada. Kalo bisa ambil penumpang di terminal saja sekalian banyak. Jika tdk di seyiap kota di sediakan agen untuk mengambil penumpang... itu aja si sarannya",POSITIF
5,"Untuk gamenya sih udah sangat saya main game ini udah sangat lama, pengalaman yang sangat saat memainkan game ini, mungkin ada kekurangan itu wajar sih,seperti grafik kurang realistis, kendaraan lain ada yang rem dadakan,dll. Saran saya sih untuk grafiknya lebih di tingkatkan lagi tidak apa-apa ukuran gamenya besar yang penting bisa memuaskan pemainnya. Semangat terus untuk MALEO",POSITIF
5,"Masih banyak sekali bug.....😠😠😠 dan masih banyak sekali .. iklan yg gak penting.. yg mengganggu..sa,at bermain 😥😥😥 Tolong tim maleo kedepannya di perbaiki lagi...🙏🙏🙏 Tapi ini game bagus..saya kasih bintang 5 smoga makin keren grafik dan game play nya....👍👍👍",POSITIF
5,"setelah beberapakali update al hamdulilah busit banyak perubahan , seperti penambahan map baru dan perbaikan bug , semoga busit bisa segera update ke poin 3.7 yang sudah di nanti nantikan oleh para pelayer busit dan jga semoga di update berikut nya , ada penambahan mode akap map baru dan banyak kota kota tujuan nya , seperti layak nya bus akap asli nya",POSITIF
3,"3 bintang dulu, saya suka main game ini, tapi dalam penempatan bangunan masih ada yg belum sesuai. Masih ada bangunan yg terlalu nempel sama tepi jalan nya. Gapura Terminal di kota masing2,halte lebih baik di ganti sama agen tiket bus. Sukses selalu buat bus simulator ID.",NEGATIF
5,"GAME INDONESIA TERBAIK NIH!!!! Gameplay nya udah bagus👍😃, walaupun map nya belum full Indonesia😧. Grafik juga bagus👍. Tapi ada yang kurang😧😧, tolong tambahin lampu di dalam bus/kendaraan lain/mod, biar lebih nyata lagi gamenya. Satu lagi kekurangan nya, kalau pake mod, suara kendaraan nya tetap suara bus😧, semisal kalau pake mod angkot, suara nya masak suara bus🗿, seharusnya kalau pasang mod angkot, ya suaranya harus suara angkot biar makin nyata. SEMOGA ITU SEMUA ADA DI NEXT UPDATE😊👍❤",POSITIF
1,Halo developer maleo Game ini memang bagus dari segi grafik Trek nya panorama nya Tapi yang sangat di sayangkan adalah suatu bug! Saya mendapat bug yang sangat menyusahkan dan aneh Bug tersebut ialah bug bus dan penumpang mobil lain pun menjadi hitam???!!!! Kepada developer Tolong perbaiki bug tersebut jika tidak game ini akan di cap sebagai game cacat dan rusak! Terimakasih...,NEGATIF
4,"Tambah kecepatan naik gunung, garis jalan harusnya lengkung, jangan kotak2, penumpang naiknya harus di terminal dan dijalan jangan di semua titik, haltenya agak jauh dikit dari jalan, tiang listrik harus jauh juga dari jalan. Kasih lampu di dalam dasboard kemudi, rem harus kuat. Terimakasih atas perhatian MALEO.",POSITIF
5,"Game yang keren, game buatan Indonesia asli, full detail bus Indonesia yang dah lama sampai yang terbaru ini, keren, detail full, tolong yang komennya gak jelas mending gak usah main, kalau gak niat kasih support sama saran mending gak usah di feedback.",POSITIF
4,Game nya bagus suasana Indonesia nya juga sangat kental tapi grafik di game ini terlalu kartunis dan efek hujan nya pun bintik bintik kesannya kayak cacar air dan kalo bisa tambahkan mod map agar maleo tidak perlu memikirkan tentang urusan map karena moder lah yang akan membuatnya dan maleo bisa memikirkan update lain seperti aksesoris bus dan semacam nya,POSITIF
4,"Grafik dah bagus, cuman kurang event, dan bug iklan, bug iklan ini gk ada iklannya, jadi gk ada tombol ""x"" nya, terpaksa harus relog. Semoga di fix",POSITIF
4,"Gamenya udah bagus, tapi.. masih ada beberapa kekurangan seperti: Fps yg mentok di 30 doang, harapan saya semoga bisa cepat 60 fps. Grafik juga kurang, semoga saja grafis nya lebih baik dan tampilan lebih tajam.",POSITIF
1,"Ngecewain banget.. makin update makin parah aja.. Masa gw mau main mode narik malah di bilang ""Bermain pada mode offline"" ??!! Padahal sinyal gw udah bagus pake WiFi.. tapi tetep aja kayak gitu... Tolong lah !! Kalau bikin game itu gak usah dipersulit juga lah... Oh ya 1 lagi.. iklannya tolong dikurangkan dikit.. karena itu mengaggu... Kami sebagai player merasa jengkel dengan keaadan kayak gitu...",NEGATIF
3,"Game dh bagus, grafik ok bgt, FPS ok bngt, cuma bug ny itu ngeselin parah. lagi main, trus jeda iklan, nahh abis iklan selesai pas lnjut Jalan lgi tiba² bus ny bug jdi item smua!. Diganggu makhluk astral bus ny?????. Smpe item ga ad gmbarny. Cuma mainin persegi panjang warna item pekat!!!!. Pliss fix bugny",NEGATIF
5,"Buat game ini game bus simulator indonesia gamenya baik dan grafiknya sudah lebih baik dari pada grafik sebelumnya, mohon maaf boleh saya berpendapat tentang game ini yang kurang yaitu,tolong di perhatikan serta perbaiki lagi keluar masuk pintu tol,grafiknya harus lebih baik lagi, perbaiki bug yang masih ada di dalam gamenya,tambah orang yang sedang berjalan di setiap tempat,tambah bandara beserta ada pesawat dan tambah rute map lengkap yang ada di indonesia insyaallah. Terima-Kasih ☺",POSITIF
3,"Game nya bagus sih cuman setiap ganti map selalu ada iklan dan setiap iklanya itu selalu ngecrash tiba""keluar sendiri jadi males mainya padahal dulu main game ini lancar"" aja tapi sekarang jadi mudah crash keluar apk sendiri jadi tolong perbaiki hal ini",NEGATIF
3,"Ada beberapa kekurangan: disaat main multiplayer temen satu room tidak bisa melewati pintu tol, harga multiplayer cukup mahal, ada bug dimana mobil ada kotak hitam dibawahnya, hujan ada bug kotak hitam.",NEGATIF
5,Untuk game nya si bagus ya grafik nya HD jadi buat kalian yang mau main bus atau truk yang grafik nya hd recomended banget si game ini.......cuma kurang 1.map nya tolong tambahin lagi 2.tolong dong banyakin orang² jalan 3.kalo naik kapal laut dari merak/Bakauheni jangan pake loading map tapi liatin pas maju nya...oke cuma segitu dari saya wassalamu'alaikum🙏🙏,POSITIF
2,Kota nya tambah lagi dong . Bosan itu itu terus. Dn tambah juga perjalanan yang terlihat seperti nyata ketika sedang berkemudi . Seperti jalur puncak menuju bandung. Yang penting grafik pemandangan nya lbh terlihat nyata . Mkhs,NEGATIF
4,"Hallo maleo terima kasih sudah membuat game ini saya suka sekali dengan game nya tapi saya ingin memberitahu bahwa ada beberapa kekurangan di dalam game ini 1.mobil dan motol lengkap 2.npc tolong perbanyak lagi 3.tambahin jalan off-road dan extream 4.hujannya realistik dan ditambahin debu 5.ketika ingin membeli bus/fitur yang lain jangan online, offline aja Udah itu aja sih saran dari saya terima kasih sudah membuat game ini ok sekian dari saya bye",POSITIF
4,Cukup bagus lah dengan grapic yang bagus dan bus nya tidak kaku saat membelok tapi ada saran dari aku agar saat lampu sein agar ada bayangan di bawah dan juga strobonya ada bayangan nya gitu biar keliatan real nya gitu dan satu lagi tambahkan mode yang bisa antar penumpang terminal ke terminal dong kan capek kalo penumpangnya di pinggir jalan apalagi kalo malem dan hujan susah di liatnya kan jadi berkurang penghasilanya cukup itu aja sih. Keep the spirit of the MALEO team,POSITIF
2,"Game lumayan bagus. Cuman perjalanan suka di potongin oleh IKLAN VIDEO. Permintaan saya kalau bisa Maps Kalimantan Barat Di Tambahin. Suara Bus juga di ubah, lampu2 perjalanan perkampungan rumah di kasih cahaya, dan pantulan cahaya lalu lintas di pantulkan. Begitu juga led mobil bus yang sudah di modif tolong di kasih cahaya pantulan juga biar lebih REALISTIS.",NEGATIF
5,"Untuk update selanjutnya saran buat developer 1. Waktu berangkat pilihan hanya siang dan malam.. Saran : bisa edit jam berangkat bisa pagi siang sore atau malam dan edit cuaca.. 2. Mode narik.. Penumpang semuanya sudah diterminal jadi tidak perlu ngecer berhenti"" Menurut saya menganggu fokus mengemudi kadang suka terlewat 3. Barang"" Yang bisa ditabrak min.. Seperti warung dsb bisa ambruk dan ambrol.. Untuk semuanya sudah bagus masya Allah.. Barokallah buat team maleo semoga bermanfaat.",POSITIF
1,"BUG!! ketika saya save di terminal sehabis menurunkan penumpang dan saya keluar dan simpan game kan ada iklan tapi iklan itu hanya layar hitam dan disilang atau tanda x tidak mau keluar, alhasil aku login dan melanjutkan progres ulang ternyata menurunkan penumpang lagi dan ada layer yang berisi uang dan penumpang,saya klik tidak ambil bonus dan saat pemrosesan itu ada kata""PEMBAYARAN GAGAL COBA LAGI""sudah coba lagi tetap seperti itu dan saya harus mengulangi progres dari awal TOLONG MALEO BUG!!!",NEGATIF
5,"Gameplay-nya sudah bagus, grafik juga udah bagus, bisa nambahin mod maupun livery, cuman saran aja tolong penghasilan dinaikkan lagi. Dan tambahin beberapa kota lagi.",POSITIF
5,"gamenya bagus, disaranin kalo mau mabar jgn bayar biar saat main bareng nyaman juga rame. juga tolong saat main menggunakan paket data saat loading map keluar iklan yang membuat menghambat loadingnya map, untuk grafik dan lain-lain bagus, tinggal ditambahkan orang jalan di trotoar agar terlihat lebih nyata. makasi busid itu aja",POSITIF
3,Dari segi permainan sudah ok tapi sistem save data.y masih sangat kurang dan mengecewakan. Kita sudah capek-capek kumpulkan uang sampai lebih 500k tapi hilang begitu saja ketika login kembali dan harus login Facebook berkali-kali itupun sama saja uangnya auto reset 125k padahal sudah beli banyak item dan itu semua hilang beserta uang yang dikumpulkan. Mohon diperbaiki dan jika sudah bagus nanti tak kasi bintang 5,NEGATIF
4,Saya hanya ingin menambahkan kota garut dari terminal guntur dan gk ada loading mapnya supaya mainnya lebih real (asli) dan penambahan kota bandung terminal leuwi panjang kalau bisa multiplayernya bisa pakai mod biar tambah asik kalau gk bisa bussid mabar versi pc nya aja segitu juga udah cukup kok,POSITIF
5,"Daripada tambah map terus, lebih baik di update aja map yang lama, kalau udah mirip sama aslinya baru tambah map baru, nggak usah mirip satu kota, cuma di trayek/jalur yang dilewati aja. Tambah mode pariwisata. Sama jam keberangkatan (contoh:16:00). Tambah kontrol slide biar bisa kontrol kecepatan. Selebihnya Ok",POSITIF
4,"Saya bilang ini bagus cuman kenapa setelah beberapa hari memainkannya malah gak bisa harus loading dulu dan itu lama banget sampe sekarang belum bisa di mainin,sebenarnya apk ini tu bagus cuman kerurangannya juga,iklannya banyak,dan ada yang di bukit gitu aku paling gak suka kalo ada bukitnya karena menggangu kalo iklannya banyak aku sih gak apa² dan juga tambah res area ya soalnya mau istirahat dulu kan di deket bukin banyakin pembensin tambahin pengendaranya kadang buat macet juga ya itu aja",POSITIF
3,"Gameplay sudah bagus, saran saya tambahkan event tertentu agar membuat game semakin menarik serta tambahkan seluruh kota kota yang ada di Indonesia. Dan tambahkan akses ke jalan pintas agar tidak harus selalu melewati jalan utama yang membuat pemain tidak mudah bosan",NEGATIF
1,"Updatelama saya di sini hanya menyampaikan atau memberi amanat ke pada team maleo untuk menambahkan: - tambahkan orang yang sedang jalan/joging/nongkrong/ngeroko/dsb. -hujan (airnya realistis) -mabar bisa pake mod dan ada trafik kendaraan yang melintas ataupun menyalip -penambahan map,dan trafik yang padat -sertakan oxygen grafik yang lebih real lagi -penambahan aksesoris di mod bus seperti (strobo,lamkol,kepet,dadu/ketupat,dll) sertakan bisa gerak -kepet bisa bergoyang depan belakang Thankyou!",NEGATIF
5,Game nya bagus sih tapi banyak bug seperti player yang habis menurun kan penumpang dan langsung keluar dari game untuk makan di suruh berhenti sama emak dll Lalu ketika player masuk game dan meneruskan rute yang awal tadi terjadi bug padahal player sudah mengambil uang penumpang yang turun dan terjadi bug tidak bisa melanjutkan save savean yang tadi itu sangat mengesalkan Istilah ngestak,POSITIF
3,"Menurut saya bagus grafik nya juga dan yg paling penting lebih di tambahin grafik nya seperti,penumpang mobil jalanan lumpur dan pemukiman supaya menggambarkan Indonesia Yah kalau bisa grafik nya kaya game GTA 5 Lebih leluansa maksih",NEGATIF
4,"Gamenya bagus banget,cuma ada beberapa kesalahan,contohnya pas ambil ceperan tiba tiba semua hitam,gak bisa dimainin,livery hilang sendiri,mod hilang sendiri,untuk sementara bintang 4 dulu,nanti kalo dah diperbaiki itu bug baru bintang lima,thnk's maleo",POSITIF
1,"Kualitas menurun, banyak sekali terjadi bug. Server buruk, ganti livery susah, perlu ngulang2 sampai 10an kali baru bisa. Mabar 1 room sering error. Tidak ada respon balik dari developer. Ada juga yang bilang tidak bisa hubungkan akun FB, dan bug tekstur hitam. Kaca hitam gelap. Dan banyak lagi. Semoga di perhatikan, biar bisa maju aplikasinya",NEGATIF
5,"Game ini udh benar benar bagus apa lagi main sama temen seru bnget tapi sayang nya banyak banget iklan jadi bisa gak di update maleo terlalu banyak iklan dan bug tapi gpp saya tetep suka dan teman teman saya makasih yah maleo, udh membuat game bus yang dimainin semua orang, seru banget jadi kolo yang mau donwload tingal donwload aja gratis kok seru!, pasti gak bakal nyesel deh donwload nya utu aja yang ku mau bilang makasih yah maleo, great job! Maleo👍",POSITIF
5,"Bagus, sudah banyak perbaikan dan penambahan kota, namun di beberapa maps masih ada bugnya sehingga kadang tersendat sendat dimainkannya, untuk kecepatan kendaraan dibuat lebih realistis, angkot, truck trailer, spm roda 3 kecepatan rata"" diatas 100 kpj sehingga ssngat jarang ketemu/mendahului kendaraan lain yang searah",POSITIF
5,"ada saran nih buat update kedepannya 1.tambahin kebutuhan kebutuhan driver seperti makan,tidur,dan BAB 2.mapnya ramein seperti di tambahin pejalan kaki, kasih mode lalu lintas sangat tinggi,dan tambahin pejalan kaki 3.pas mode narik kalau bisa buat penumpang bisa comen tentang cara kita bermain 4.buat animasi penumpang duduk 5.buat di mana mode narik bisa nurunin penumpang di mana penumpang inginkan biar lebih realistis 6.buat bengkel buat upgrade bus ...",POSITIF
5,"Saran kepada developer untuk mempercepat update nya ya minimal 6 bulan sekali. Dan untuk masalah bug kalo pake obb ori gk ada, tapi kalo pake obb/kodename download di YouTube kadang ada yg nge-bug. Menurut gw game ini salah satu game yg dimana para playernya bisa berkarya untuk membuat livery,mod, obb, kodename. Dan juga bussid berasal dari Surabaya jatim Indonesia. Pokoknya semangat trus buat developer nya😁. (Bocil be like: bosenin anj map nya itu2 aja ngtd bgst!!!!!!!)",POSITIF
5,"Assalamualaikum Ubdate 3.5 sangat bagus dari speed traffic, pencahayaan, dan pantulan bayangan. Sekian lama saya menunggu akhirnya keluar juga versi 3.5, tetapi tolong diperbaiki sedikit bug ini yah. Bug ini terdapat pada traffic, dan bug ini sudah lama berada di bussid. Terkadang ada salahsatu kendaraan stak dan membuat kemacetan, nanti kedepannya kalo bisa hilangkan loading map dan tambah save spot atau destinasi peristirahatan agar lebih realistis pertahankan kerjabagus kalian.",POSITIF
4,"Tolong lah min, kalo mabar itu bisa lah dibuat gratis masa bayarnya 40K njing masa gua mau mabar ama temen gua udah bayar terus pas masuk maen game baru mau pindah map tiba tiba DC bayar terus bayar lagi -_-, terus kalo reset akun atau main lagi dari awal itu gak bisa, udah di hapus data terus instal ulang juga (ada tutorialnya pake pengganda apk sih tapi ya gila buang buang space amat) dan yang parahnya lagi... Iklan gua gak muncul asu nunggu 3 menit cuma logo gear doang padahal koneksi lancar",POSITIF
5,"Tolong kepada pihak developer untuk menambahkan lampu lampu ketika malam hari pada landmark di setiap kota yang ada di BUSSID,dan tolong perbaiki bug-bug yang ada contohnya waktu loading map,ada iklan sih nggak masalah tapi bugnya sangat mengganggu",POSITIF
4,Game nya bagus tapi bug nya tolong di perbaikan ada satu bug yg merasahkan setelah loading map kadang kadang bus nya jadi hitam dan glitch jadi harus login ulang lagi deh itu aja semoga kedepanya lebih baik lagi ya....,POSITIF
5,"Untuk gamenya sih seru ,tapi developer masih ngumpetin update selanjutnya. Trus yang kurang , kota, kendaraan lain, dan saya paling mengharap ada mode akap, kalo mode akap tinggal setiap kota narik penumpang(mantap)",POSITIF
5,"Ini udh bagus cuma ada hal yg g enak saat main.... 1. Saat mau ""Narik"" itu harus log-in dulu dan online. 2. Upah untuk jasa derek, karna biayanya seharga 20.000. 3. Upah Multiplayer (harusnya dibikin FREE) dan bisa main offline. 4. Perjalananya jauh. 5. Ditambahkan daerah baru ( BANDUNG , DENPASAR , DLL ). 6. Ditambahkan fitur bisa MAKAN , MASUK K RAJAMARET , PENUMPANG TERLIHAT DARI LUAR JENDELA... itu aja mungkin... tapi itu cuma saran aja.. klo game nya tetep bagus kok.. !!AYO DOWNLOAD!!",POSITIF
4,"Bagus sih, cuma kebanyakan malam jalan bis nya, klo bisa situasi siang yg di banyakin dan kurangi cuaca hujannya,dan di perjelas mobil yang ada di depannya sampai gak terlihat,jalanan juga harus di kombunasi dh jalanan rusak biar seru,! Trimakasih.....dan tambahin lagi tujuannya seperti medan sampai aceh gt.....lewat jalur extrem..... Trimakasih.",POSITIF
4,"Maaf sebelumnya saya kasih bintang 4 ya karena ada masalah sedikit doang, emang iya sih game bussid seru, tpi masahal nya dari grafik nya berat sedikit, iklan nya banyak dri login sampe narik, ngeleg nya diloadmap. tolong update ya klo diupdate versi 3.7.6 pasti saya kasih bintang nya 5 ya terima kasih atas game nya",POSITIF
3,untuk sementara saya kasih 3 bintang dulu.. Kalau boleh di tambah lagi kota kota besar yang ada di Indonesia bila perlu ditambahkan juga daerah pelosok pelosoknya.. Dan satu lagi untuk penyebrangan kapal kalau boleh di buat seperti kehidupan aslinya yang menikmati suasa di kapan Ferry. Terimakasih,NEGATIF
4,"Masukan buat SIMULATOR BUS ID ,tolong di perbaiki jalan pas belok jangan seperti di gambar kesannya jadi gak muter / patah2 & hilangkan penumpang yang ada di pinggir jalan ,jadi 1 tempat pengambilan penumpang hanya di terminal/ tempat keramaian tertentu kalau gak di hilangkan terlalu cape sebentar2 berhenti ,apa lagi nariknya dari ujung ke ujung. Keluhan dari tahun 2018 hingga sekarang hanya ini,yang lain tidak ada masalah..",POSITIF
5,game ini bagus tapi harus ada peningkatan ya oh dari mulai mood-nya bisa modif-modif in terus juga ditambah mood-nya harus bisa main bareng ya itu salah satu keseruan mod dan satu lagi yang paling penting cepat updated ya itu aja tanggapan dari saya,POSITIF
5,"Gamenya udh bagus. Tp coba tambahin fitur tingkat kesenangan penumpang, durability kendaraan, trus bisa mampir ke tempat istirahat biar makin real gitu. Selebihnya udh bagus.. Mohon dipertimbangkan ya Developer Thx",POSITIF
4,"Aplikasinya bagus, cuma tambahin supaya bisa liat penumpang nya didalam bis, terus tingkatin lagi masih banyak bug misalnya kalo lagi di jalan tol pas mau bayar kadang macet portalnya trus ada bug iklan suka gak muncul",POSITIF
2,"tolong dibaca buat pengembang game ini.Menurut saya kekurangan game ini cuma 1, map nya gabisa di cek, jadi yang main gak tau di posisi mana, masih jauh dari tujuan atau udah nyampe mana nya. Jadi sering bosan sendiri kalo asal jalan tapi ga tau udah sampe mana mana nya. Apalagi pas mabar susah banget . Tolong tingkatkan",NEGATIF
3,"Game nya bagus ,tapi tolong map nya di tambahin dong seperti pulau Sulawesi, Kalimantan,Bali,NTT,Papua supaya gak bosen dan rem nya agak pakemin trus rumah² nya atau supermarket atau restoran bisa di masukin buat makan. Hai developer tolong game nya diperbagus jadiin game nya kaya GTA bisa makan bisa melakukan aktivitas gitu trus grafiknya tolong dibagusin ok",NEGATIF
4,Game nya sudah bagus dan menarik....tapi ada satu bug yang dimana ketika login di jam 12 keatas dan ada satu bug yang dmn ketika ingin menjual Strobo dan ketika Strobo nya sudah dijual uang nya engga naik sama sekali jadi mohon untuk di hapus bug nya,POSITIF
3,"Sayangnya penumpang tidak di update,mode nglayap harusnya tidak perlu masuk terminal dan mode narik kalau bisa akap saja naik turun penumpang dari terminal ke terminal,map jawa kurang real tidak ada tol trans jawa surabaya,solo,jakarta dan map jakarat juga kurang real,terdapat beberapa iklan yang tidak bisa di skip karena tidak ada tombol (✖️) tolong iklan higgs domino di hilangkan saja kara tidak relefan udah di skip tetep aja masuk ke playstore dan itu membuat game resset",NEGATIF
5,"Kalo bisa mabar pakai mod truk mungkin lebih seru mainnya, bisa roleplay bisa turing pakai truk. Dan juga ada sedikit permasalahan di bagian log in nya, kadang error waktu mau log in nggak bisa :) mungking bug atau device saya yg kurang baik :') Semoga cepat di update dan jg di wujudkan permintaan saya",POSITIF
5,"Game yang bagus dan sangat tidak membosankan!!!why??karena digame bussid gk cuma ada bus aja,kalian bisa pake mod apapun untuk pengalaman bermain yang lebih menyenangkan tentunya:),gk dari kendaraanya aja!kalian bisa memilih rute yang kalian inginkan dan map nya gede banget!! worth it buat kalian yang suka game mobil but open world!!!mungkin untuk kedepanya game bussid ini bisa di fix bug playernya why??karena suka tembus² haha:) semangat terus developer game indonesia i know you can do this:)",POSITIF
3,"Game nya udah bagus kok tapi. tolong untuk iklan nya durasi nya di kurangin lah, apalagi kalo mau loading map, itu kalo perlu gak perlu di kasih iklan,karna cukup mengganggu, sekian saran dari saya terimakasih 🙏",NEGATIF
1,"Game ini bagus cuma kurang pengembangan aja dan sayangnya masih banyak Bug yang sangat meresahkan dari stuck di loading map,bug narik,uang pencapaian yang tiba tiba menghilang,Bug mabar,dan masih banyak lagi, mohon untuk pihak maleo teruskan pengembangan game ini,jika update selanjutnya mengecewakan maka kami selaku bussid mania akan menganggap game ini sebagai game simulator anak bangsa yang kurang pengembangan,kami rela menunggu hampir satu tahun untuk menunggu hasil update",NEGATIF
5,Untuk maleo developer game ini saya cuma mau kasih saran: 1.tolong untuk bisa pakai mod di mode main bareng 2.bisa masuk ke dalam bus 3.tolong untuk menambah map kalimantan dan juga papua 4.tolong untuk di update smart trafic nya karena jika saya lihat sedikit aneh melihat kendaraannya tidak saling menyalip 5.tolong untuk menambahkan pejalan kaki di trotoar agar kelihatan tidak sepi 6.mohon adakan fitur sopir pariwisata Maaf untuk sarannya sedikit saya masih mau berfikir untuk update kedepan🙏🙏,POSITIF
5,"game nya sangat bagus, tapi di versi 3.3 ini banyak bugnya dan saya berharap update kedepanya ditambahkan: 1.tombol bisa di custom/dipindah dan diperbesar. 2.ditambahkan cinematic ketika memasuki game. 3.map jawa dibagusin. 4.penambahan suara mesin mati di mod. 5.lampu sein tetap menyala ketika mesin mati. 6.kendaraan bisa mogok. 7.map bisa dilihat ketika sedang bermain. itu saja harapan saya semoga dikabulkan. sukses terus tim maleo.",POSITIF
4,"Dari segi trafik sudah ada peningkatan, cuman masih terdapat banyak bug, terutama bug kontrol yang kadang-kadang tak respon, terjadi lag patah-patah meski settingan low, bug dijalan mobil lain sering berhenti ditengah jalan bikin macet, mohon diperbaiki... O.. Iya min tolong di update selanjutnya tambahin keramaian dijalan kota, keramaian diterminal dan penumpang mobil lainnya, satu lagi min jangan lupa update angkutan antar pulau mobil naik kapal ya.. Min, mungkin segitu dulu... Terima kasih.",POSITIF
5,"Keren cuy Mantul,rasanya berada seperti asli! Buat mapnya ditambah dong map jawanya sama sumatranya seperti semua indonesia. semarang,jakarta,cirebon.di perbarui ya. TOLONG YA 😀TERIMAKASIH Sekalian kasih map baru lagi dan kalo nabrak bisa hancur",POSITIF
4,"Bintang 4 dulu, untuk map jakarta, cirebon, sama semarang masih sama min, diperbaiki lagi dan kasih ciri khas sama seperti kota yang lainya, tolong tambahin map bekasi sama jepara, untuk variasi bus tambahin juga, satu lagi, ilangin juga bugnya masih banyak makasih🙏🙏",POSITIF
5,Pembaharuannya lama kurang cepat... lama² bosen kalo cuma itu² aja.. kalo bisa terminalnya di buat sama dgn aslinya biar pemain dari daerah masing² bangga. Kalo buat jalan tol mohon agar ada jalan yg sedikit bergelombang dan naik turun biar sama kayak di dunia nyata... terima kasih,POSITIF
1,"Kecewa banget si. Di mana mau lanjutin save""an dulu malah link FB ilang katanya . Lalu setelah keluar keterangan gitu. Tiba"" semua layar jadi hitam. Yg keliatan cuma menu dan lampu bis nya aja. 🤦‍♂️Ah. Apakah ini udah dead game.? Gak pernah update dan keluhan ga pernah di fiks",NEGATIF
5,"gamenya udah baguslah, sejak lama main ga pernah bosen main ini cuman yg kurang sih ada aja : mod cuman kendaraan, engga traffic, map, ama yg lain kek ets2 yg bisa modifyable grafik tingkatin dikit, / engga bisa import mod shader klo bisa, tambahin rush hour di multiplayer tambahin traffic pas multiplayer, jangan cuman kosong aja tambahin map baru / bagusin lagi map map yg udah ada, klo bisa miripin sama panjang aslinya, jangan fiksi, nnti bosen klo main bussid ini masih dx09 apa udah dx11 y?",POSITIF
5,"Maaf sebelum nya ini sudah bagus tapi saya saranin seperti bengkel,atau dealer,terus tambahin kita bisa memodifikasi mobil kita sendiri dengan tambah interior dan tambah kota nya full map indonesia dan satu lagi kalo kita masuk kota lain kan loading dulu itu ngak usah enakny lanjut terus jadi berasa jadi sopir benaran🙏",POSITIF
3,"Iklan nya yg bikin ga nyaman bermain, buka map masuk iklan, map iklan, keluar iklan, harus nya iklan cukup di spanduk"" atau baliho di pinggiran jalan. Mod nya kalo nyenggol atau nabrak di buat rusak+tilang, biar duit narik kepake, dan nyopir lebih menantang karena kalo nyenggol atau nabrak, ada perbaikan+tilang.",NEGATIF
3,"Saya menginginkan new update untuk gamplay, tekstur, gerakan bis agar lebih real, jalan raya, jalan tol, dan perkotaan, penumpang yang lebih di fokuskan di terminal, penambahan kendaraan yang lebih fariatin dari tuck Sampai bus",NEGATIF
5,"Game ini seru bgt!! Cuma ada satu kekurangan menurutku, kekurangannya saat penumpang masuk otomatis penumpangnya akan menghilang dan tidak ada didalam bus, saat keluar pun juga sama penumpangnya akan otomatis muncul. Tapi game ini tetap seru aku kasih bintang 5, kalian juga wajib download game ini karena game ini sangat seru!!!",POSITIF
5,"Hanya perlu settingan tombol bisa di custom atau di rubah sama pemainnya, biar kita pemain bisa menyesuaikan tombol tombol nya. Untuk pembaruan baru atau rute baru di pulau sumatera sangat puas dan bagus, jika perlu pulau jawa juga dibikin banyak banyak pemandangan dan tambahkan rute baru untuk di pulau jawa. Sudah itu saja, terimakasih banyak Bus Simulator Indonesia ☺️",POSITIF
5,"Tolong ya waktu di iklan shope/lazada kasih tanda silangnya yang gede biar bisa di pencet trus biar gak masuk ke apk sophe/lazada,dan juga lampu variasi led yang kecil-kecil kalo kita sent kiri ya idup nya yang kiri trus sebaliknya.perbaiki lagi ya biar makin mantap..jangan lupa tambah bis2 sama track nya kalo bisa bikin ramai suasana terminal nya.seperti asli.terimakasih",POSITIF
5,"Hallo tim maleo,saya berikan saran untuk update,misal(selesai 1 map langsung update),dan menurut saya itu mengurangi kebosanan dalam bermain bussid(Bus Simulator Indonesia).Sekian itu saran dari saya Terimakasih banyak untuk tim maleo karena sudah menemani saya selama kurang lebih 3 tahun sekian dari saya😊...",POSITIF
